ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,idx
0.1,3.92,0.63333333,5.6,5.6,565
0.1,3.92,0.63333333,6.7,5.6,566
0.1,3.92,0.63333333,7.8,5.6,567
0.1,3.92,0.63333333,8.9,5.6,568
0.1,3.92,0.63333333,10.0,5.6,569
0.1,3.92,0.72222222,0.1,5.6,570
0.1,3.92,0.72222222,1.2,5.6,571
0.1,3.92,0.72222222,2.3,5.6,572
0.1,3.92,0.72222222,3.4,5.6,573
0.1,3.92,0.72222222,4.5,5.6,574
0.1,3.92,0.72222222,5.6,5.6,575
0.1,3.92,0.72222222,6.7,5.6,576
0.1,3.92,0.72222222,7.8,5.6,577
0.1,3.92,0.72222222,8.9,5.6,578
