ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.7,7,0.5,0.5,0.529648277
0.7,7,0.5,1,1.132158755
0.7,7,0.5,4,4.341281203
0.7,7,0.5,6,4.34550581
0.7,7,0.5,8,4.349527073
0.7,7,0.5,10,4.35359738
0.7,7,0.7,0.1,0.063698701
0.7,7,0.7,0.5,0.315898288
0.7,7,0.7,1,0.633482109
0.7,7,0.7,4,2.972943817
0.7,7,0.7,6,4.662704683
0.7,7,0.7,8,5.86616367
0.7,7,0.7,10,5.87445003
0.7,7,0.9,0.1,0.021627402
0.7,7,0.9,0.5,0.105712245
0.7,7,0.9,1,0.210722318
0.7,7,0.9,4,0.844618017
0.7,7,0.9,6,1.283017131
0.7,7,0.9,8,1.770941225
0.7,7,0.9,10,2.309839598
0.9,0.07,0.1,0.1,0.721375148
0.9,0.07,0.1,0.5,0.765963371
0.9,0.07,0.1,1,0.768042315
0.9,0.07,0.1,4,0.7705879
0.9,0.07,0.1,6,0.771879933
0.9,0.07,0.1,8,0.772980885
0.9,0.07,0.1,10,0.774117146
0.9,0.07,0.3,0.1,0.723746907
0.9,0.07,0.3,0.5,0.820772993
0.9,0.07,0.3,1,0.824132185
0.9,0.07,0.3,4,0.827332002
0.9,0.07,0.3,6,0.828490687
0.9,0.07,0.3,8,0.829757581
0.9,0.07,0.3,10,0.830706718
0.9,0.07,0.5,0.1,0.648270956
0.9,0.07,0.5,0.5,0.827706949
0.9,0.07,0.5,1,0.831594983
0.9,0.07,0.5,4,0.835218428
0.9,0.07,0.5,6,0.836274218
0.9,0.07,0.5,8,0.837554254
0.9,0.07,0.5,10,0.838747946
0.9,0.07,0.7,0.1,0.494219282
0.9,0.07,0.7,0.5,0.828228508
0.9,0.07,0.7,1,0.834456641
0.9,0.07,0.7,4,0.838065674
0.9,0.07,0.7,6,0.839221457
0.9,0.07,0.7,8,0.841118639
0.9,0.07,0.9,0.1,0.208108744
0.9,0.07,0.9,0.5,0.679727072
0.9,0.07,0.9,1,0.829750088
0.9,0.07,0.9,4,0.839477216
0.9,0.07,0.9,6,0.840647464
0.9,0.07,0.9,8,0.842364603
0.9,0.07,0.9,10,0.843466973
0.9,0.1,0.1,0.1,0.988005787
0.9,0.1,0.1,0.5,1.075531649
0.9,0.1,0.1,1,1.077455669
0.9,0.1,0.1,4,1.080798356
0.9,0.1,0.1,6,1.082430947
0.9,0.1,0.1,8,1.084036955
0.9,0.1,0.1,10,1.085708291
0.9,0.1,0.3,0.1,0.969864989
0.9,0.1,0.3,0.5,1.25438216
0.9,0.1,0.3,1,1.259960684
